Sim Name,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect,pop_diffs_2045_2065,pop_diffs_2026_2100,pop_diffs_2050,total_pop_diff_2050,avg_diff,avg_gdp_pc_diff,discount_rate,NPV,"QALY 20, $B","QALY NPV, $T"
"Ovarian Aging v2, minus 20%",40,10,20,0.008,0.04,0.4,0.9478247539945482,32.46729704531974,0.021384148557853914,0.3130926086318651,3.5451992191159576,-16.704121299715812,0.03,3.3766396032044463,86.00355534905778,2.4884406658776332
"Ovarian Aging v2, minus 20%",40,10,20,0.008,0.04,0.4,0.9478247539945482,32.46729704531974,0.021384148557853914,0.3130926086318651,3.5451992191159576,-16.704121299715812,0.035,2.3116692293007968,86.00355534905778,1.9496375915773372
"Ovarian Aging v2, minus 20%",40,10,20,0.008,0.04,0.4,0.9478247539945482,32.46729704531974,0.021384148557853914,0.3130926086318651,3.5451992191159576,-16.704121299715812,0.04,1.5932288015037317,86.00355534905778,1.5373750614438721
"Ovarian Aging v2, minus 20%",40,10,20,0.008,0.04,0.4,0.9478247539945482,32.46729704531974,0.021384148557853914,0.3130926086318651,3.5451992191159576,-16.704121299715812,0.05,0.771404209516114,86.00355534905778,0.9745154323722914
"Ovarian Aging v2, minus 20%",40,10,20,0.008,0.04,0.4,0.9478247539945482,32.46729704531974,0.021384148557853914,0.3130926086318651,3.5451992191159576,-16.704121299715812,0.06,0.3818735369098686,86.00355534905778,0.6335021113524291
"1st Gen, High",65,5,10,0.096,0.08,0.0,6.035392175526317,19.093594460362972,0.29365215993140903,0.29365215993140914,42.32356249823823,-24.16109340745468,0.01,4.463863161702282,48.37802595465655,1.9731171976252964
"1st Gen, High",65,5,10,0.096,0.08,0.0,6.035392175526317,19.093594460362972,0.29365215993140903,0.29365215993140914,42.32356249823823,-24.16109340745468,0.02,2.5039998154430116,48.37802595465655,1.3182660659456782
"1st Gen, High",65,5,10,0.096,0.08,0.0,6.035392175526317,19.093594460362972,0.29365215993140903,0.29365215993140914,42.32356249823823,-24.16109340745468,0.03,1.5043177845919176,48.37802595465655,0.909437746042141
"1st Gen, High",65,5,10,0.096,0.08,0.0,6.035392175526317,19.093594460362972,0.29365215993140903,0.29365215993140914,42.32356249823823,-24.16109340745468,0.035,1.1952671558810084,48.37802595465655,0.7639193221743902
"1st Gen, High",65,5,10,0.096,0.08,0.0,6.035392175526317,19.093594460362972,0.29365215993140903,0.29365215993140914,42.32356249823823,-24.16109340745468,0.04,0.9645833298324581,48.37802595465655,0.6462177983132898
