Sim Name,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect,pop_diffs_2045_2065,pop_diffs_2026_2100,pop_diffs_2050,total_pop_diff_2050,avg_diff,avg_gdp_pc_diff,discount_rate,NPV,"QALY 20, $B","QALY NPV, $T"
Ovarian Aging v2,40,10,20,0.01,0.05,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,9.067297564947552,-5.253888551727869,0.01,20.663797011937696,107.50493501922953,8.800142312662256
Ovarian Aging v2,40,10,20,0.01,0.05,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,9.067297564947552,-5.253888551727869,0.02,9.260643509930068,107.50493501922953,5.166387335730232
Ovarian Aging v2,40,10,20,0.01,0.05,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,9.067297564947552,-5.253888551727869,0.03,4.271059628190964,107.50493501922953,3.110782037635648
Ovarian Aging v2,40,10,20,0.01,0.05,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,9.067297564947552,-5.253888551727869,0.035,2.932761114922387,107.50493501922953,2.437213641707778
Ovarian Aging v2,40,10,20,0.01,0.05,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,9.067297564947552,-5.253888551727869,0.04,2.0287469378210536,107.50493501922953,1.9218392794932326
Ovarian Aging v2,40,10,20,0.01,0.05,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,9.067297564947552,-5.253888551727869,0.05,0.9921350148251089,107.50493501922953,1.218207762318887
Ovarian Aging v2,40,10,20,0.01,0.05,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,9.067297564947552,-5.253888551727869,0.06,0.49843640729845157,107.50493501922953,0.791911502241673
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270447726035,-19.85212214514918,0.01,4.3080471258395585,45.3381777713699,1.8491562274264022
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270447726035,-19.85212214514918,0.02,2.4159562828247974,45.3381777713699,1.2354569063305725
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270447726035,-19.85212214514918,0.03,1.4511986396407874,45.3381777713699,0.8523179536720674
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270447726035,-19.85212214514918,0.035,1.153039130320611,45.3381777713699,0.7159427731719882
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270447726035,-19.85212214514918,0.04,0.9305297112204118,45.3381777713699,0.6056363347029141
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270447726035,-19.85212214514918,0.05,0.6324710804998175,45.3381777713699,0.4419770401415467
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270447726035,-19.85212214514918,0.06,0.4515724086935962,45.3381777713699,0.33025648925657874
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404634865,3.9408764168051893,0.01,7.349139144279424,75.8348878412673,3.092648769094984
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404634865,3.9408764168051893,0.02,4.160237302039529,75.8348878412673,2.066076717139157
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404634865,3.9408764168051893,0.03,2.521799088350669,75.8348878412673,1.4252106297227969
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404634865,3.9408764168051893,0.035,2.0119395493874586,75.8348878412673,1.1971102216091805
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404634865,3.9408764168051893,0.04,1.6296662825281203,75.8348878412673,1.0126183046890394
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404634865,3.9408764168051893,0.05,1.1140933712237089,75.8348878412673,0.7389056086767442
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404634865,3.9408764168051893,0.06,0.798275394969976,75.8348878412673,0.552072277060286
2nd Gen,40,10,20,0.41,0.72,0.0,27.238783908174412,94.73912333940804,1.110598325664858,1.1106653561943236,505.038836108136,954.9683433646527,0.01,40.40459433764097,220.82701296110972,9.367010430389376
2nd Gen,40,10,20,0.41,0.72,0.0,27.238783908174412,94.73912333940804,1.110598325664858,1.1106653561943236,505.038836108136,954.9683433646527,0.02,22.239376398945144,220.82701296110972,5.950609841773882
2nd Gen,40,10,20,0.41,0.72,0.0,27.238783908174412,94.73912333940804,1.110598325664858,1.1106653561943236,505.038836108136,954.9683433646527,0.03,12.952049030625815,220.82701296110972,3.8832127947383683
